,Source,Start_Lat,Start_Lng,Distance(mi),Side,City,State,Timezone,Airport_Code,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Severity_of_accidents,year_recorded,month_recorded,day_recorded,diff_hours,diff_minutes
1581494,MapQuest,31.743917,-106.332153,0.0,L,El Paso,TX,US/Mountain,KELP,64.0,,65.0,29.8,10.0,Calm,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2018,10,12,0.9961111111111111,59.766666666666666
458698,MapQuest,34.135075,-117.61311299999998,0.00999999977648,R,Rancho Cucamonga,CA,US/Pacific,KONT,57.9,,97.0,29.81,4.0,WSW,3.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,1,2017,6,5,0.5,30.0
3422755,Bing,25.77751,-80.33676,0.423,R,Miami,FL,US/Eastern,KMIA,88.0,,63.0,29.86,10.0,SE,8.1,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2017,9,25,6.0,360.0
2700113,Bing,35.3372,-80.72457,0.624,R,Charlotte,NC,US/Eastern,KJQF,73.4,,88.0,30.11,3.0,Calm,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,7,3,6.0,360.0
2222508,MapQuest,32.671043,-97.208206,0.0,R,Arlington,TX,US/Central,KGKY,46.0,40.6,76.0,30.16,10.0,South,11.5,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2017,12,29,0.6230555555555556,37.38333333333333
1074751,MapQuest,42.383419,-71.07176199999999,0.0,R,Charlestown,MA,US/Eastern,KBOS,81.0,81.0,67.0,29.79,10.0,SSW,16.0,Cloudy,False,False,True,False,False,False,False,False,True,False,False,False,Day,1,2019,8,7,0.9958333333333333,59.75
189167,MapQuest,43.063965,-85.633476,0.01,R,Comstock Park,MI,US/Eastern,KGRR,45.0,41.2,76.0,30.37,10.0,ESE,6.9,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2016,10,14,0.49666666666666665,29.8
1426915,MapQuest,32.880058,-96.770134,0.0,R,Dallas,TX,US/Central,KDAL,33.1,30.0,66.0,30.36,10.0,NE,3.5,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,1,2019,1,25,1.0033333333333334,60.2
410151,MapQuest,26.520718,-81.885101,0.01,R,Fort Myers,FL,US/Eastern,KFMY,84.9,,61.0,29.98,8.0,NW,18.4,Clear,False,False,False,False,False,False,False,False,False,False,False,True,Day,1,2017,4,6,0.49416666666666664,29.65
2446684,MapQuest,27.821066,-82.69994399999999,0.0,R,Saint Petersburg,FL,US/Eastern,KPIE,81.0,,85.0,30.01,10.0,Calm,,Clear,False,False,False,False,False,False,False,False,True,False,False,True,Night,1,2017,8,16,0.7433333333333333,44.6
